RIDE_ID,RIDE_NAME,PARK_NAME,TOTAL_SNAPSHOTS,AVG_WAIT_MINUTES,MAX_WAIT_MINUTES,MIN_WAIT_MINUTES,VERY_LONG_WAIT_COUNT
ee070d46-6a64-41c0-9f12-69dcfcca10a0,Reflections of China,EPCOT,8,15.0,15,15,0
61fb49f8-e62f-4e1c-ae0e-8ab9929037bc,Canada Far and Wide in Circle-Vision 360,EPCOT,6,14.166667,15,10,0
7c5e1e02-3a44-4151-9005-44066d5ba1da,Mickey's PhilharMagic,Magic Kingdom,9,10.555556,15,10,0
ffcfeaa2-1416-4920-a1ed-543c1a1695c4,Tomorrowland Transit Authority PeopleMover,Magic Kingdom,9,10.555556,15,5,0
9211adc9-b296-4667-8e97-b40cf76108e4,Vacation Fun - An Original Animated Short with Mickey & Minnie,Hollywood Studios,9,10.0,10,10,0
0f57cecf-5502-4503-8bc3-ba84d3708ace,Country Bear Musical Jamboree,Magic Kingdom,9,10.0,10,10,0
22f48b73-01df-460e-8969-9eb2b4ae836c,Gran Fiesta Tour Starring The Three Caballeros,EPCOT,9,9.444444,15,5,0
6fd1e225-53a0-4a80-a577-4bbc9a471075,Walt Disney's Enchanted Tiki Room,Magic Kingdom,9,9.444444,25,0,0
1a8ea967-229a-42a0-8290-59b036c84e14,Maharajah Jungle Trek,Animal Kingdom,8,5.0,5,5,0
8183f3f2-1b59-4b9c-b634-6a863bdf8d84,Walt Disney's Carousel of Progress,Magic Kingdom,9,5.0,5,5,0
e7976e25-4322-4587-8ded-fb1d9dcbb83c,Gorilla Falls Exploration Trail,Animal Kingdom,8,5.0,5,5,0
30fe3c64-af71-4c66-a54b-aa61fd7af177,Swiss Family Treehouse,Magic Kingdom,9,2.222222,5,0,0
